line,filename,tool,target,type,num_configs,variability,features
111,/usr/include/x86_64-linux-gnu/bits/byteswap.h,CBMC,axtls_2_1_4,overflow,1000,False,generic
835,bigint.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
112,rsa.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
239,md5.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
388,aes.c,CBMC,axtls_2_1_4,array bounds,1000,False,generic
260,md5.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
94,sha256.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
115,md5.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1049,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
197,sha512.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
164,sha256.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
300,gen_cert.c,CBMC,axtls_2_1_4,overflow,493,True,CONFIG_SSL_GENERATE_X509_CERT
202,md5.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
1647,tls1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
1420,bigint.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
121,hmac.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
221,md5.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
156,rsa.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
93,rc4.c,CBMC,axtls_2_1_4,pointer dereference,501,True,CONFIG_SSL_USE_PKCS12
849,proc.c,CBMC,axtls_2_1_4,pointer dereference,527,True,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER
1844,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1507,bigint.c,CBMC,axtls_2_1_4,pointer dereference,168,True,CONFIG_BIGINT_MONTGOMERY and CONFIG_BIGINT_CRT and -CONFIG_BIGINT_CLASSICAL and -CONFIG_BIGINT_BARRETT
771,bigint.c,CBMC,axtls_2_1_4,pointer dereference,339,True,CONFIG_BIGINT_MONTGOMERY and -CONFIG_BIGINT_CLASSICAL and -CONFIG_BIGINT_BARRETT
1187,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
104,proc.c,CBMC,axtls_2_1_4,overflow,342,True,CONFIG_DEBUG and -CONFIG_STRIP_UNWANTED_SECTIONS
479,bigint.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
138,sha1.c,CBMC,axtls_2_1_4,array bounds,1000,False,generic
275,aes.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
372,asn1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
394,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
121,proc.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1390,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
697,tls1.c,CBMC,axtls_2_1_4,overflow,342,True,CONFIG_DEBUG and -CONFIG_STRIP_UNWANTED_SECTIONS
236,aes.c,CBMC,axtls_2_1_4,array bounds,1000,False,generic
227,tls1.c,CBMC,axtls_2_1_4,assertion,1000,False,generic
721,asn1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
217,md5.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
263,sha256.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
261,rsa.c,CBMC,axtls_2_1_4,overflow,493,True,CONFIG_SSL_GENERATE_X509_CERT
